order,word,phonetic,example,note,definition_en
1,analytical,/ˌænəˈɫɪtɪkəɫ/,"She approached the problem with an analytical mindset, breaking it down into smaller components to find a solution.",,
2,comparative,/kəmˈpɛɹətɪv/,The comparative study revealed significant differences in the teaching methods used across various schools.,,
3,descriptive,/dɪsˈkɹɪptɪv/,Her descriptive writing made the scenes in the novel come alive with vivid detail.,,
4,to cite,/ˈsaɪt/,The lawyer cited similar court cases to argue for his client's innocence.,,
5,to classify,/ˈkɫæsəˌfaɪ/,The scientist classified the organisms into different species based on their genetic traits and physical features.,,
6,to compile,/kəmˈpaɪɫ/,The researcher compiled data from numerous studies to create a comprehensive report on climate change.,,
7,to conduct,"/ˈkɑndəkt/, /kɑnˈdəkt/",The experienced project manager will conduct the team in implementing the new software.,,
8,to demonstrate,/ˈdɛmənˌstɹeɪt/,The scientist demonstrated the effectiveness of the new drug through a series of experiments.,,
9,to derive,/dɝˈaɪv/,Scientists derive the laws of physics through rigorous experimentation and mathematical analysis.,,
10,to detect,/dɪˈtɛkt/,The security system is designed to detect unauthorized access to the building.,,
11,to document,/ˈdɑːkjəmənt/,The lawyer documented her arguments with relevant case law and statutes.,,
12,to estimate,"/ˈɛstəˌmeɪt/, /ˈɛstəmət/",I estimate that there are about 100 people at the party.,,
13,to evaluate,"/iˈvæɫjuˌeɪt/, /ɪˈvæɫjuˌeɪt/",The teacher evaluates students' performance through tests and assignments.,,
14,to imply,/ˌɪmˈpɫaɪ/,The dark clouds imply that it might rain later today.,,
15,to interpret,/ˌɪnˈtɝpɹət/,"During the meeting, the manager interpreted the feedback from the team to improve the project.",,
16,to observe,/əbˈzɜrv/,Scientists observe the behavior of animals in their natural habitats.,,
17,to outline,/ˈaʊtˌɫaɪn/,"Before writing the essay, the student outlined the main ideas to organize the structure.",,
18,to survey,"/ˈsɝˌveɪ/, /sɝˈveɪ/",The volunteers surveyed local residents about their transportation preferences.,,
19,case study,/kˈeɪs stˈʌdi/,Researchers conducted a case study to explore the long-term effects of a new drug on patients with rare medical conditions.,,
20,chart,/ˈtʃɑɹt/,The chart displayed the company's sales performance over the last quarter.,,
21,diagram,/ˈdaɪəˌɡɹæm/,The teacher used a diagram to explain the structure of the cell.,,
22,document,/ˈdɑːkjəmənt/,The historian discovered an ancient document that shed light on a lost civilization.,,
23,evaluation,"/iˌvæɫjuˈeɪʃən/, /ɪˌvæɫjuˈeɪʃən/",The evaluation of the project's success will be based on the achievement of key performance indicators.,,
24,hypothesis,/haɪˈpɑθəsəs/,The scientist developed a hypothesis to explain the observed phenomena.,,
25,experiment,/ɪkˈspɛɹəmənt/,The scientists conducted an experiment to test their new hypothesis.,,
26,sample,/ˈsæmpəɫ/,The survey included a random sample of 500 households to gather opinions on local transportation issues.,,
27,variable,/ˈvɛɹiəbəɫ/,"In the experiment, temperature was a variable that could influence the outcome.",,
28,instrument,/ˈɪnstrəmənt/,The scientist used a complex instrument to measure the chemical reactions accurately.,,
29,questionnaire,/ˌkwɛstʃəˈnɛɹ/,The survey included a questionnaire with multiple-choice and open-ended questions.,,
30,reference,/ˈrɛfərəns/,"At the end of the chapter, the author included a reference to the original research study.",,
31,trial,"/ˈtɹaɪəɫ/, /ˈtɹaɪɫ/",The trial was set to evaluate the new drug's effectiveness in treating the condition.,,
32,trial and error,/tɹˈaɪəl ænd ˈɛɹɚ/,He learned to fix the machine through trial and error.,,
33,finding,/ˈfaɪndɪŋ/,The scientist's finding revealed a new way to treat the disease.,,
34,law,/lɑ/,Newton's Law of Universal Gravitation explains the attraction between masses based on their distance and mass.,,
35,model,/ˈmɑdəl/,The economic model helped analysts understand how changes in tax rates might affect the overall economy.,,
36,principle,/ˈpɹɪnsəpəɫ/,"The scientific method is based on the principle of empirical evidence, requiring observations and experiments to support hypotheses.",,
37,procedure,"/pɹəˈsidʒɝ/, /pɹoʊˈsidʒɝ/",The technician followed a detailed procedure to calibrate the equipment accurately.,,
38,proof,/ˈpɹuf/,The DNA results acted as proof that the suspect was at the scene of the crime.,,
