order,word,phonetic,example,note,definition_en
1,adventurous,"/ædˈvɛntʃɝəs/, /ədˈvɛntʃɝəs/","She's an adventurous traveler, always seeking out new destinations and immersive cultural experiences.",,
2,to alarm,/əˈɫɑɹm/,The unfamiliar sound in the house alarmed her at night.,,
3,alarmed,/əˈɫɑɹmd/,She felt alarmed when she heard the sound of glass breaking downstairs.,,
4,daring,/ˈdɛɹɪŋ/,She climbed the steep mountain cliff with daring determination.,,
5,at-risk,/ætɹˈɪsk/,The organization provides support services for at-risk youth to prevent homelessness.,,
6,risk,/rɪsk/,Investing in stocks carries a higher risk of financial loss compared to placing money in a savings account.,,
7,critical,/ˈkɹɪtɪkəɫ/,"The patient's condition was critical, and doctors worked quickly to stabilize him.",,
8,deadly,/ˈdɛdɫi/,The explosion had deadly consequences.,,
9,desperate,"/ˈdɛspɝɪt/, /ˈdɛspɹɪt/",The police issued a warning about a desperate fugitive who was considered armed and dangerous.,,
10,offensive,/əˈfɛnsɪv/,His offensive jokes made many people uncomfortable at the party.,,
11,harmless,/ˈhɑɹmɫəs/,The puppy's playful behavior was harmless and endearing.,,
12,high-risk,/hˈaɪɹˈɪsk/,"Investing in high-risk stocks can yield high returns, but it also comes with the potential for significant losses.",,
13,low-risk,/lˈoʊɹˈɪsk/,Investing in government bonds is considered low-risk compared to investing in stocks.,,
14,secure,/sɪˈkjʊr/,"The bank vault is highly secure, with multiple layers of security measures in place.",,
15,harmful,/ˈhɑɹmfəɫ/,Smoking is harmful to your health.,,
16,insecure,/ˈɪnsəkjɝ/,The old house had insecure windows that could be easily opened from outside.,,
17,sound,/saʊnd/,"Despite economic downturns, their investments remained sound and continued to grow steadily.",,
18,nasty,/ˈnæsti/,The hiker encountered a nasty storm while trekking in the mountains.,,
19,risky,/ˈɹɪski/,Investing in cryptocurrency is considered risky due to its volatility.,,
20,to encounter,"/ɪnˈkaʊnɝ/, /ɪnˈkaʊntɝ/",The team encountered unexpected challenges while implementing the new software.,,
21,to endanger,/ɛnˈdeɪndʒɝ/,Ignoring safety protocols can endanger workers on a construction site.,,
22,to harm,/ˈhɑɹm/,The malicious rumors were intended to harm the reputation of the individual.,,
23,to pose,/ˈpoʊz/,The sudden economic downturn posed a significant threat to the stability of many businesses.,,
24,to threaten,/ˈθɹɛtən/,The robber threatened the store clerk with a knife if they didn't hand over the money.,,
25,happening,"/ˈhæpənɪŋ/, /ˈhæpnɪŋ/",The art gallery's grand opening was the happening of the week in the local community.,,
26,to rescue,/ˈɹɛskju/,Firefighters rushed to rescue the trapped individuals from the burning building.,,
27,rescuer,/ˈɹɛsˌkjuɝ/,The rescuer pulled the injured hiker from the mountain.,,
28,threat,/ˈθɹɛt/,Pollution is a major threat to marine life.,,
29,out of harm's way,/ˌaʊɾəv hˈɑːɹmz wˈeɪ/,"After the wildfire broke out, the residents were evacuated to a shelter to keep them out of harm's way.",,
30,to disturb,/dɪˈstɝb/,The unsettling images in the movie disturbed him for days afterward.,,
31,to offend,/əˈfɛnd/,His dismissive remarks about her achievements offended her and sparked resentment.,,
32,off the hook,/ˈɔf ðə hˈʊk/,"Thanks to the extension granted by the teacher, I'm off the hook for submitting the assignment today.",,
33,to scream,/ˈskɹim/,The unexpected appearance of the ghost in the movie caused the audience to scream in terror.,,
34,neutral,/ˈnutɹəɫ/,It’s important to keep a neutral tone when discussing sensitive topics.,,
35,to alert,/əˈlɝt/,The security system alerted the homeowners to a possible break-in with a loud alarm.,,
36,disrespectful,/ˌdɪsɹɪˈspɛktfəɫ/,His disrespectful behavior towards his parents embarrassed his family.,,
37,on a razor's edge,/ˌɑːn ɐ ɹˈeɪzɚz ˈɛdʒ/,"The company's financial stability is on a razor's edge, with mounting debts and declining profits.",,
38,fearsome,/ˈfɪɹsəm/,The fearsome roar of the lion sent shivers down their spines.,,
