order,word,phonetic,example,note,definition_en
1,amateur,/ˈæməˌtɜr/,The garage band produced only amateur pop songs before gaining industry experience.,,
2,authentic,"/əˈθɛnɪk/, /əˈθɛntɪk/, /ɔˈθɛnɪk/, /ɔˈθɛntɪk/","The antique vase was confirmed as authentic by experts, ensuring its historical value.",,
3,decorative,/ˈdɛkɹətɪv/,The decorative pillows on the sofa added a touch of elegance and color to the living room.,,
4,symbolic,/sɪmˈbɑɫɪk/,The dove is symbolic of peace and harmony across cultures and religions.,,
5,auction house,/ˈɔːkʃən hˈaʊs/,Christie's and Sotheby's are renowned auction houses known for selling fine art and collectibles to high-profile collectors worldwide.,,
6,bronze,/brɑnz/,The city erected a bronze in the town square to honor its founding fathers.,,
7,ceramic,/sɝˈæmɪk/,"The museum displayed a wide array of ancient ceramics from different civilizations, showcasing their craftsmanship and cultural significance.",,
8,canvas,/ˈkænvəs/,"She displayed her latest canvas in the gallery, an abstract oil painting that evoked emotions of peace and introspection.",,
9,mural,/ˈmjʊɹəɫ/,The city commissioned a local artist to create a vibrant mural depicting the history and culture of the neighborhood.,,
10,oil painting,/ˈɔɪl pˈeɪntɪŋ/,"She studied the techniques of oil painting under a master artist, learning to blend colors and create depth on canvas.",,
11,silhouette,/ˌsɪɫəˈwɛt/,"She framed the silhouette of her daughter playing in the park, the simplicity of the outline capturing the essence of childhood joy.",,
12,still life,/stˈɪl lˈaɪf/,"The artist's still life painting depicted a bowl of fruit and a vase of flowers, capturing the play of light and shadow on the objects.",,
13,print,/prɪnt/,She admired the intricate details of the Japanese woodblock print hanging in the art gallery.,,
14,depth,/dɛpθ/,"The artist used shading and perspective to create a sense of depth in the landscape painting, making the mountains appear distant and majestic.",,
15,finish,/ˈfɪnɪʃ/,She applied a clear finish to the freshly painted walls to protect them from stains and scratches.,,
16,harmony,/ˈhɑrməni/,"The painting exhibited a harmony of colors, with each hue blending seamlessly into the next.",,
17,patron,/ˈpeɪtɹən/,"As a dedicated supporter of the cause, she became a patron of the animal shelter, making regular donations to provide care and medical treatment for rescued animals.",,
18,sculptor,/ˈskəɫptɝ/,"The sculptor meticulously chiseled away at the marble block, transforming it into a lifelike statue of a historical figure.",,
19,palette,/ˈpæɫət/,"The artist's palette was covered in a colorful array of oil paints, each hue carefully mixed to capture the essence of the sunset.",,
20,reproduction,/ˌɹipɹəˈdəkʃən/,"The museum displayed a high-quality reproduction of the Mona Lisa, allowing visitors to admire Leonardo da Vinci's masterpiece up close.",,
21,restoration,/ˌɹɛstɝˈeɪʃən/,"The restoration of the ancient frescoes took several years, with experts meticulously repairing and cleaning the artwork to reveal its original beauty.",,
22,viewpoint,/ˈvjuˌpɔɪnt/,"From her viewpoint, the new policy would greatly benefit small businesses by providing much-needed tax relief.",,
23,watercolor,/ˈwɔtɝˌkəɫɝ/,"The artist's gallery featured a stunning watercolor of a serene lake at sunrise, with soft, blended hues creating a tranquil scene.",,
24,impressionism,/ˌɪmˈpɹɛʃəˌnɪzəm/,"Claude Monet's ""Water Lilies"" is a quintessential example of Impressionism, capturing the ephemeral beauty of light and nature.",,
25,modernism,/ˈmɑdɝˌnɪzəm/,Modernism emerged in the early 20th century as artists and writers sought to break away from traditional forms and experiment with new techniques and perspectives.,,
26,realism,/ˈɹiəɫɪzm/,"The artist's commitment to realism is evident in his paintings, which meticulously depict the everyday lives of rural workers with incredible detail.",,
27,romanticism,/ɹoʊˈmæntəˌsɪzəm/,"Romanticism emerged as a reaction against the industrial revolution and the Enlightenment, emphasizing the importance of emotion, nature, and individualism in art and literature.",,
28,surrealism,"/sɝˈiəˌɫɪzəm/, /sɝˈiɫɪzəm/","Salvador Dalí's ""The Persistence of Memory"" is one of the most famous works of surrealism, featuring melting clocks draped over a dreamlike landscape.",,
29,to carve,/ˈkɑɹv/,He carved intricate patterns into the stone to create a decorative monument.,,
30,to mold,/ˈmoʊɫd/,She carefully molded the clay into a beautiful vase on the potter's wheel.,,
31,to pose,/ˈpoʊz/,"The model posed gracefully, capturing the essence of elegance and sophistication in the fashion photoshoot.",,
32,to shade,/ʃeɪd/,"She carefully shaded the apple in her drawing, using different pencil pressures to create depth and realism.",,
