order,word,phonetic,example,note,definition_en
1,Australia,/ɔˈstreɪljə/,"Australia is famous for its beautiful beaches, such as Bondi Beach in Sydney.",,
2,Australian,/ɔˈstreɪljən/,Australian literature includes famous authors like Tim Winton.,,
3,Switzerland,/ˈswɪtsɚˌlænd/,"Geneva, located in Switzerland, is home to many international organizations.",,
4,Swiss,/swɪs/,Many tourists love the tranquil beauty of Swiss lakes.,,
5,Austria,/ˈɔstriə/,Austria is a country in Central Europe that's known for its rich cultural history.,,
6,Austrian,/ˈɔstriən/,Austrian cuisine includes dishes like Wiener Schnitzel and Sachertorte.,,
7,the Netherlands,/ˈnɛðɚləndz/,Cycling is a popular mode of transport in the Netherlands.,,
8,Dutch,/dʌʧ/,Dutch architecture is unique and striking.,,
9,Norway,/ˈnɔrˌweɪ/,Fishing is a popular activity in Norway due to its long coastline.,,
10,Norwegian,/nɔrˈwiːdʒən/,Norwegian culture is rich in folklore and mythology.,,
11,Sweden,/ˈswiːdən/,I visited Sweden last summer and loved it.,,
12,Swedish,/ˈswiːdɪʃ/,ABBA is a famous Swedish pop band.,,
13,Poland,/ˈpoʊlənd/,I didn't know that Poland joined the European Union in 2004.,,
14,polish,/ˈpoʊlɪʃ/,I'm learning Polish cuisine from my grandmother.,,
15,Egypt,/ˈiːdʒɪpt/,"Alexandria, a city in Egypt, is known for its ancient library.",,
16,Egyptian,/ɪˈdʒɪpʃən/,He is studying Egyptian hieroglyphs for his history project.,,
17,Turkey,/tˈɜːki/,Many people visit Turkey for its beautiful Mediterranean beaches.,,
18,Turkish,/ˈtɝkɪʃ/,He watched a Turkish film without subtitles to improve his language skills.,,
19,Greece,/ɡriːs/,Greece is famous for its historical sites and beautiful islands.,,
20,Greek,/ɡriːk/,Greek cuisine is well-known for its fresh and flavorful dishes.,,
21,Vietnam,/ˌviˌɛtˈnɑm/,I bought a handcrafted silk scarf when I visited Vietnam.,,
22,Vietnamese,/ˌviˌɛtˌnɑˈmiz/,She's wearing a traditional Vietnamese dress called an 'ao dai'.,,
23,Saudi Arabia,/ˈsaʊdi əˈreɪbiə/,Dates and camel milk are traditional foods in Saudi Arabia.,,
24,Saudi,/ˈsaʊdi/,He is a fluent speaker of the Saudi dialect of Arabic.,,
25,Afghanistan,/æfˈɡænəˌstæn/,He is working on a development project in Afghanistan.,,
26,Afghan,/ˈæfɡæn/,"He is studying the Afghan language, Dari.",,
27,Israel,/ˈɪzreɪəl/,"My brother lives in Tel Aviv, a vibrant city in Israel.",,
28,Israeli,/ɪzˈreɪli/,"My teacher is Israeli, and she teaches us about her country's history.",,
